<!DOCTYPE>      Defines the document type
<html>	        Defines an HTML document
<head>	        Contains metadata/information for the document
<title>	        Defines a title for the document
<body>	        Defines the document's body
<h1> to <h6>	Defines HTML headings
<p>	            Defines a paragraph
<br>	        Inserts a single line break
<hr>	        Defines a thematic change in the content
<!--...-->	    Defines a comment
<a>	            Defines a hyperlink
<ul>	        Defines an unordered list
<ol>	        Defines an ordered list
<li>	        Defines a list item
<dl>	        Defines a description list
<dt>	        Defines a term/name in a description list
<dd>	        Defines a description of a term/name in a description list
<head>	        Defines information about the document
<meta>	        Defines metadata about an HTML document
<table>	        Defines a table
<caption>	    Defines a table caption
<th>	        Defines a header cell in a table
<tr>	        Defines a row in a table
<td>	        Defines a cell in a table
<style>	        Defines style information for a document
<div>	        Defines a section in a document
<span>	        Defines a section in a document
